tipe_iphone,kapasitas_storage,battery_health,garansi_status,sinyal_status,bluetooth_status,biometrik_status,part_status,kamera_status,beli_di,icloud_status,jangka_pakai,skor_persen,label_kelayakan
3,64,88,2,0,2,1,0,2,0,0,0,20,0
4,256,96,1,1,2,1,1,1,0,1,1,10,0
2,64,98,2,2,2,1,3,2,0,0,0,10,0
4,128,50,0,2,1,2,1,0,1,0,0,10,0
4,128,90,2,1,1,1,2,1,0,1,1,10,0
1,64,71,2,2,2,0,2,1,1,2,0,10,0
2,128,78,2,2,1,0,0,0,0,2,0,10,0
2,256,63,2,1,0,1,3,0,0,2,0,10,0
2,128,97,2,3,1,2,1,1,1,0,1,10,0
4,64,77,1,3,0,1,1,2,0,1,0,10,0
3,256,70,1,3,1,0,1,0,0,1,0,10,0
2,128,94,0,3,1,2,1,0,1,0,0,10,0
4,256,81,2,0,0,1,0,0,0,0,1,60,1
1,64,55,1,1,0,1,0,1,0,0,1,40,0
3,128,50,1,2,2,2,0,2,1,0,0,10,0
1,256,70,2,2,1,2,2,0,0,2,0,10,0
3,256,53,2,1,0,0,0,1,0,1,0,10,0
4,128,52,0,2,2,1,0,1,0,1,0,10,0
0,256,98,0,0,0,0,3,2,1,1,1,15,0
3,256,79,1,3,2,0,3,1,0,2,1,10,0
1,64,80,0,1,2,2,3,1,1,2,1,10,0
4,64,83,1,2,0,1,3,0,1,1,0,10,0
3,64,68,0,0,0,0,0,0,1,2,0,30,0
0,64,69,2,2,1,0,0,0,1,2,0,10,0
0,64,72,0,0,1,2,2,1,1,1,1,10,0
2,64,89,1,2,2,1,1,2,0,0,1,10,0
2,128,74,0,3,0,1,1,2,1,1,1,10,0
1,64,64,1,1,1,0,3,2,1,0,0,10,0
3,256,87,1,3,2,2,2,1,0,2,0,10,0
3,128,72,0,3,1,1,0,0,0,0,0,10,0
2,256,51,0,2,2,1,1,1,1,0,1,10,0
3,64,64,1,3,1,0,3,0,1,0,0,10,0
3,64,93,2,1,0,1,3,1,1,0,0,15,0
0,256,84,0,0,2,1,1,1,0,2,1,10,0
2,256,59,1,0,2,1,1,2,0,1,1,10,0
4,256,63,2,2,1,1,1,1,1,1,1,10,0
2,512,76,1,1,1,0,0,2,1,0,1,50,1
4,512,63,0,1,1,1,1,1,0,1,0,10,0
0,512,84,1,0,0,1,2,2,1,1,1,10,0
1,512,82,1,0,1,2,2,1,0,1,0,10,0
3,128,50,1,3,1,0,1,1,1,1,0,10,0
0,64,83,0,2,0,1,0,0,1,2,1,10,0
3,256,68,2,0,1,2,3,0,1,1,1,10,0
1,64,73,2,0,0,0,1,0,0,0,0,65,1
1,256,91,2,1,0,1,1,1,0,1,1,10,0
0,64,53,2,1,1,2,1,0,1,2,1,10,0
1,128,85,0,1,0,0,2,0,1,1,1,30,0
4,512,62,1,0,1,1,2,1,0,0,0,10,0
1,64,81,2,2,0,2,3,1,1,2,0,10,0
3,256,58,2,3,2,0,0,0,1,1,1,10,0
3,64,88,0,2,1,2,1,0,0,0,1,20,0
3,128,65,1,0,2,2,1,1,1,0,0,10,0
3,128,99,1,3,2,1,1,1,1,0,1,10,0
4,64,52,2,2,2,2,3,2,0,1,1,10,0
2,512,69,2,0,2,1,1,2,0,2,0,10,0
0,256,59,1,2,1,1,2,1,1,1,0,10,0
3,128,71,0,0,0,2,0,1,0,2,0,10,0
1,128,97,1,1,1,2,2,0,0,2,0,10,0
3,64,52,1,2,1,2,1,2,0,0,1,10,0
1,128,60,2,1,0,2,3,0,0,0,0,20,0
1,128,74,0,1,2,0,2,2,0,0,0,20,0
3,256,91,0,3,0,1,0,0,1,1,0,10,0
4,512,97,0,3,2,2,3,2,1,2,1,10,0
1,256,57,2,2,1,0,1,1,0,0,0,10,0
1,512,58,0,0,0,2,1,1,0,1,1,10,0
3,256,64,0,3,0,0,3,1,1,2,0,10,0
1,64,81,2,3,2,1,2,0,1,2,1,10,0
1,128,52,1,1,0,2,2,2,1,1,1,10,0
3,512,53,0,1,1,0,3,0,0,2,0,10,0
3,64,79,1,0,0,0,2,1,1,1,0,15,0
0,128,62,0,3,0,1,0,2,1,0,0,10,0
4,128,93,1,3,1,2,3,2,0,2,0,10,0
4,128,70,1,0,2,2,0,0,0,1,0,10,0
1,256,90,2,3,0,1,3,1,1,0,0,10,0
4,64,95,2,2,2,1,0,0,0,0,0,10,0
1,64,68,0,2,0,1,1,0,0,0,0,25,0
0,128,88,0,0,1,0,1,1,0,2,1,20,0
3,512,97,2,1,2,0,2,1,1,0,0,15,0
3,64,71,0,0,0,1,3,0,1,0,0,25,0
3,256,69,0,2,2,2,1,2,1,0,0,10,0
4,512,86,2,3,0,0,3,1,1,1,0,10,0
0,512,80,1,3,1,1,3,1,1,2,1,10,0
4,512,59,0,1,1,0,0,1,1,0,0,30,0
4,512,67,2,1,0,0,1,1,0,2,0,10,0
0,64,92,0,2,0,1,2,2,1,0,1,10,0
0,128,88,0,1,2,2,2,2,1,1,1,10,0
0,512,95,2,0,0,2,2,0,1,0,1,30,0
0,256,69,2,2,2,0,3,0,0,2,0,10,0
3,256,67,0,3,0,2,2,1,0,0,0,10,0
2,128,60,0,3,1,2,3,0,1,2,0,10,0
2,64,71,1,3,2,1,1,2,0,2,0,10,0
0,128,93,1,1,2,1,3,1,0,1,1,10,0
2,512,67,2,2,1,1,2,1,1,0,1,10,0
2,64,83,0,1,2,2,1,1,0,2,1,10,0
0,64,72,2,0,1,2,2,0,0,1,1,10,0
2,512,50,2,2,1,1,3,1,1,2,1,10,0
4,256,59,0,1,1,2,3,1,0,1,1,10,0
1,512,50,1,3,0,1,2,2,0,0,0,10,0
1,128,87,2,3,1,0,1,1,1,0,0,10,0
0,512,88,2,0,2,0,3,0,1,0,0,30,0
3,256,98,0,0,0,2,0,1,0,0,0,60,1
0,512,58,1,0,1,2,0,0,0,0,0,30,0
3,128,80,1,3,1,2,0,2,1,0,1,10,0
1,128,56,0,1,1,2,0,2,0,2,1,10,0
0,256,66,2,3,2,0,2,1,0,2,1,10,0
4,128,84,0,3,0,1,3,2,0,1,0,10,0
2,128,97,0,3,0,0,1,1,0,0,1,55,1
3,512,86,1,1,0,1,0,2,1,0,0,50,1
2,64,67,2,3,2,2,2,2,1,2,0,10,0
2,128,82,2,0,1,1,1,0,1,1,1,10,0
0,128,53,1,0,0,1,2,0,0,1,1,10,0
2,256,72,2,0,1,1,3,1,0,1,0,10,0
4,256,60,2,0,2,1,0,1,1,0,0,10,0
2,512,58,0,3,0,0,1,0,0,0,1,50,1
